1507881378.09593987,$GPROM CORE 6.02 (36023) Oct 15 2009 16:52:08*56

1507881378.0959959,$GPRV=AC SD PDoS SR*20

1507881427.10360694,$GPRMC,075710.00,A,3110.31215,N,12124.52451,E,0.066,,131017,,,A*75

1507881428.10221219,$GPRMC,075711.00,A,3110.31207,N,12124.52448,E,0.037,,131017,,,A*7B

1507881429.10205221,$GPRMC,075712.00,A,3110.31201,N,12124.52447,E,0.049,,131017,,,A*78

1507881430.10195613,$GPRMC,075713.00,A,3110.31194,N,12124.52447,E,0.019,,131017,,,A*73

1507881431.09870553,$GPRMC,075714.00,A,3110.31188,N,12124.52446,E,0.033,,131017,,,A*70

1507881432.09798074,$GPRMC,075715.00,A,3110.31178,N,12124.52457,E,0.045,,131017,,,A*7F

1507881433.0989213,$GPRMC,075716.00,A,3110.31170,N,12124.52462,E,0.019,,131017,,,A*7B

1507881434.09586239,$GPRMC,075717.00,A,3110.31164,N,12124.52462,E,0.020,,131017,,,A*75

1507881435.09711361,$GPRMC,075718.00,A,3110.31156,N,12124.52462,E,0.026,,131017,,,A*7D

1507881436.09787679,$GPRMC,075719.00,A,3110.31149,N,12124.52464,E,0.023,,131017,,,A*71

1507881437.09629107,$GPRMC,075720.00,A,3110.31141,N,12124.52462,E,0.036,,131017,,,A*71

1507881438.09886789,$GPRMC,075721.00,A,3110.31132,N,12124.52461,E,0.068,,131017,,,A*7C

1507881439.10338926,$GPRMC,075722.00,A,3110.31126,N,12124.52460,E,0.098,,131017,,,A*74

1507881440.10318637,$GPRMC,075723.00,A,3110.31123,N,12124.52458,E,0.050,,131017,,,A*7F

1507881441.10119224,$GPRMC,075724.00,A,3110.31122,N,12124.52454,E,0.067,,131017,,,A*71

1507881442.10104728,$GPRMC,075725.00,A,3110.31126,N,12124.52442,E,0.076,,131017,,,A*73

1507881443.10103059,$GPRMC,075726.00,A,3110.31128,N,12124.52432,E,0.142,,131017,,,A*7F

1507881444.10205007,$GPRMC,075727.00,A,3110.31132,N,12124.52419,E,0.071,,131017,,,A*7D

1507881445.10476565,$GPRMC,075728.00,A,3110.31136,N,12124.52403,E,0.020,,131017,,,A*79

1507881446.09998202,$GPRMC,075729.00,A,3110.31152,N,12124.52372,E,0.226,,131017,,,A*7F

1507881447.09915972,$GPRMC,075730.00,A,3110.31163,N,12124.52343,E,0.416,177.20,131017,,,A*6F

1507881448.10076761,$GPRMC,075731.00,A,3110.31172,N,12124.52319,E,0.383,191.24,131017,,,A*66

1507881449.09798741,$GPRMC,075732.00,A,3110.31182,N,12124.52294,E,0.267,,131017,,,A*74

1507881450.10265875,$GPRMC,075733.00,A,3110.31192,N,12124.52270,E,0.279,,131017,,,A*71

1507881451.10398889,$GPRMC,075734.00,A,3110.31196,N,12124.52252,E,0.354,201.98,131017,,,A*60

